Reference; Quantity; Footprint; Value; Description; Voltage; Size; Current; Type; Tolerance; Power; 
C201 C202 C210 C215 C217 ;5;CAP-TH-D8mmP3.5mm;220u;'Aluminium electrolytic low impedance capacitor - eg Panasonic FC or FR parts;'25V;'3.5mm Pitch, 8mm Diameter;';';';';
C203 C204 C211 C218 C219 C226 ;6;SMD-0805;22u;'Ceramic capacitor;'25V;'0805;';'X5R;'20%;';
C205 C206 C214 C220 C221 C225 C227 C229 C233 C236 C237 C304 C311 C319 C322 C323 C326 C328 C332 C409 C410 C411 C412 C417 C418 C421 C422 C427 C428 C431 C432 C433 C434 C437 C438 C441 C442 C449 C450 ;39;SMD-0805;100n;'Ceramic capacitor;'50V;'0805;';'X7R;'10%;';
C208 C209 C216 C222 C223 C230 C234 C320 C324 C423 C424 C429 C430 C439 C440 C443 C444 ;17;SMD-0805;10n;'Ceramic capacitor;'50V;'0805;';'X7R;'10%;';
C207 C212 C213 C301 C308 C401 C402 C405 C406 ;9;SMD-0805;100p;'Ceramic capacitor;'50V;'0805;';'C0G;'5%;';
C224 C235 C321 C414 C416 C451 C452 ;7;SMD-0805;10u;'Ceramic capacitor;'10V;'0805;';'X5R;'20%;';
C231 C238 C302 C309 C312 C331 ;6;CAP-TH-D6.3mmP2.5mm;220u;'Aluminium electrolytic low impedance capacitor - eg Panasonic FC or FR parts;'10V;'2.5mm Pitch, 6.3mm Diameter;';';';';
C228 C232 C303 C310 C315 C329 ;6;SMD-0805;22u;'Ceramic capacitor;'10V;'0805;';'X5R;'20%;';
C305 C313 ;2;SMD-0603;1u;'Ceramic capacitor;'10V;'0603;';'X7R;'10%;';
C306 C314 C316 C330 ;4;SMD-0603;100n;'Ceramic capacitor;'50V;'0603;';'X7R;'10%;';
C307 C317 C318 C327 ;4;SMD-0603;10n;'Ceramic capacitor;'50V;'0603;';'X7R;'10%;';
C325 ;1;SMD-0805;N/F;'Ceramic capacitor;'50V;'0805;';'X7R;'10%;';
C403 C407 ;2;CAP-TH-D10mmP5mm;100u;'Aluminium electrolytic - Panasonic FC, Audio Grade, or Bipolar part;'50V;'5mm Pitch, 10mm Diameter;';';';';
C404 C408 ;2;CAP_TH_5mm;100n;'Polyester capacitor - 5mm pitch - 5.5mm width max;'63V;'5mm;';'Film;'10%;';
C413 C415 ;2;SMD-0805;330p;'Ceramic capacitor;'50V;'0805;';'C0G;'5%;';
C419 C420 C435 C436 ;4;SMD-1206;10u;'Ceramic capacitor;'35V;'1206;';'X5R;'20%;';
C425 C426 ;2;SMD-0805;2n7;'Ceramic capacitor;'50V;'0805;';'C0G;'5%;';
C445 C446 ;2;CAP-TH-D6.3mmP2.5mm;47u;'Aluminium electrolytic low impedance capacitor - eg Panasonic FC or FR parts;'10V;'2.5mm Pitch, 6.3mm Diameter;';';';';
C447 C448 ;2;SMD-0805;1n;'Ceramic capacitor;'50V;'0805;';'C0G;'5%;';
D201 D202 D203 D204 D205 D206 D207 ;7;DIODE-SOD-123;SS14L;'SS14L 1A 40V Schottky rectifier - Sub-SMA (SOD-123);';';';';';';
D208 ;1;SMD-1206;Green LED 1206;'Green LED - SMD - Vf 1.8V to 2.2V;';'1206;';';';';
D301 D302 ;2;SMD-1206;Red LED 1206;'Red LED - SMD - Vf 1.8V to 2.2V;';'1206;';';';';
FID1 FID2 FID3 FID4 ;4;FID-1MM-3MM;MNT_HOLE;'Fiducial Marker;';';';';';';
JP301 JP302 JP303 JP304 JP305 JP306 JP307 P308 P401 P402 ;10;CONN_SIL_2_1MM;CONN_2x1;'1x2 2.54mm pitch pin header;';';';';';';
L201 L202 L203 L301 L302 ;5;SMD-0805;600R@100MHz;'Ferrite bead, current rating 0.3A or higher, 600R@100MHz;';'0805;'=>0.3A;';';';
MNT201 MNT202 MNT203 MNT204 ;4;MNT_HOLE_3.2mm;MNT_HOLE;'Mounting Hole;';';';';';';
P203 P204 P205 ;3;CONN-2WAY-2.54mm-3.81mm-SPACING;CONN_2x1;'2 way screw terminal, any 2.54mm to 3.81mm pitch part;';';';';';';
P309 ;1;CONN_DIL_2X5_BOX_1MM;CONN_02X05;'2x5 2.54mm pitch box header;';';';';';';
P310 ;1;CONN_SIL_3_1MM;N/F;'1x3 2.54mm pitch pin header;';';';';';';
